generation,best_fitness,avg_fitness,champion_id,alive_count,solved_count,time_elapsed
48,11400.0,6131.89,1,0,35,909.406
1,11400.0,1909.01,74,0,1,4.566
2,11400.0,2756.045,1,0,2,5.807
3,11400.0,3047.436,1,0,6,7.078
4,11400.0,3063.156,1,0,8,8.38
5,11400.0,3448.354,1,0,9,9.78
6,11400.0,3901.634,1,0,13,11.339
7,11400.0,3904.113,1,0,13,12.898
8,11400.0,4128.625,1,0,18,14.546
9,11400.0,4625.184,1,0,24,16.283
10,11400.0,4184.973,1,0,24,17.889
11,11400.0,5084.187,1,0,29,19.847
49,11400.0,5779.84,1,0,36,928.226
12,11400.0,4681.773,1,0,27,21.619
13,11400.0,5155.758,1,0,28,23.56
14,11400.0,4852.215,1,0,27,25.391
15,11400.0,3992.278,1,0,22,26.915
16,11400.0,4126.105,1,0,19,28.565
17,11400.0,3828.899,1,0,19,30.035
18,11400.0,4487.975,1,0,25,31.726
19,11400.0,3955.81,1,0,24,33.273
50,11400.0,6225.059,1,0,38,947.094
20,11400.0,4568.56,1,0,27,53.936
51,11400.0,6173.381,1,0,40,966.0
52,11400.0,5213.085,1,0,30,984.864
53,11400.0,5941.98,1,0,30,1003.834
54,11400.0,6107.092,1,0,35,1022.671
55,11400.0,5734.781,1,0,32,1042.191
56,11400.0,5990.939,1,0,33,1064.165
57,11400.0,6021.327,1,0,36,1083.062
58,11400.0,6083.513,1,0,33,1102.483
59,11400.0,5326.453,1,0,32,1121.403
